run,impl,threads,size,mix,mean_ops_per_sec
4,vcas-tree,4,1024,read_heavy,20636005
4,vcas-tree,4,1024,read_snap_short,9248613
4,vcas-tree,4,1024,write_heavy,9502738
4,vcas-tree,4,1024,write_snap_long,1599923
4,vcas-tree,4,16384,read_heavy,9807841
4,vcas-tree,4,16384,read_snap_short,4684933
4,vcas-tree,4,16384,write_heavy,7579289
4,vcas-tree,4,16384,write_snap_long,42798
4,vcas-tree,8,1024,read_heavy,35410813
4,vcas-tree,8,1024,read_snap_short,13158835
4,vcas-tree,8,1024,write_heavy,15110267
4,vcas-tree,8,1024,write_snap_long,2453825
4,vcas-tree,8,16384,read_heavy,18278527
4,vcas-tree,8,16384,read_snap_short,7902436
4,vcas-tree,8,16384,write_heavy,11662380
4,vcas-tree,8,16384,write_snap_long,86159
4,vcas-tree,16,1024,read_heavy,67199007
4,vcas-tree,16,1024,read_snap_short,26362697
4,vcas-tree,16,1024,write_heavy,28327063
4,vcas-tree,16,1024,write_snap_long,4059537
4,vcas-tree,16,16384,read_heavy,38010345
4,vcas-tree,16,16384,read_snap_short,16187802
4,vcas-tree,16,16384,write_heavy,23525833
4,vcas-tree,16,16384,write_snap_long,174396
4,vcas-tree,24,1024,read_heavy,86483483
4,vcas-tree,24,1024,read_snap_short,35191047
4,vcas-tree,24,1024,write_heavy,35135559
