run,impl,threads,size,mix,mean_ops_per_sec,std_within_run
2,mvrlu,4,1024,write_heavy,900184,676
2,mvrlu,4,1024,write_snap_long,851610,2056
2,mvrlu,4,16384,read_heavy,20773,98
2,mvrlu,4,16384,read_snap_short,20258,117
2,mvrlu,4,16384,write_heavy,19352,37
2,mvrlu,4,16384,write_snap_long,16739,19
2,mvrlu,8,1024,read_heavy,2000558,32933
2,mvrlu,8,1024,read_snap_short,1899455,3752
2,mvrlu,8,1024,write_heavy,1583257,4838
2,mvrlu,8,1024,write_snap_long,1565174,8458
2,mvrlu,8,16384,read_heavy,41036,160
2,mvrlu,8,16384,read_snap_short,39751,240
2,mvrlu,8,16384,write_heavy,37991,112
2,mvrlu,8,16384,write_snap_long,32428,63
2,mvrlu,16,1024,read_heavy,3932388,10498
2,mvrlu,16,1024,read_snap_short,3655861,33024
2,mvrlu,16,1024,write_heavy,2864045,46809
2,mvrlu,16,1024,write_snap_long,2906737,59738
2,mvrlu,16,16384,read_heavy,80718,317
2,mvrlu,16,16384,read_snap_short,76484,255
2,mvrlu,16,16384,write_heavy,74052,33
2,mvrlu,16,16384,write_snap_long,64490,29
2,mvrlu,24,1024,read_heavy,5804642,22916
2,mvrlu,24,1024,read_snap_short,5307016,33293
2,mvrlu,24,1024,write_heavy,3989393,17103
2,mvrlu,24,1024,write_snap_long,4080805,21812
2,mvrlu,24,16384,read_heavy,118165,394
2,mvrlu,24,16384,read_snap_short,112410,5
2,mvrlu,24,16384,write_heavy,107949,272
2,mvrlu,24,16384,write_snap_long,93304,213
2,mvrlu,32,1024,read_heavy,7584272,7834
2,mvrlu,32,1024,read_snap_short,6959451,72250
2,mvrlu,32,1024,write_heavy,5080575,48577
2,mvrlu,32,1024,write_snap_long,5337744,47996
2,mvrlu,32,16384,read_heavy,159370,531
2,mvrlu,32,16384,read_snap_short,149574,290
2,mvrlu,32,16384,write_heavy,143916,436
2,mvrlu,32,16384,write_snap_long,136553,21011
2,mvrlu,48,1024,read_heavy,10367773,94670
2,mvrlu,48,1024,read_snap_short,10278172,98305
2,mvrlu,48,1024,write_heavy,7269905,65520
2,mvrlu,48,1024,write_snap_long,7461171,230163
2,mvrlu,48,16384,read_heavy,236324,1151
2,mvrlu,48,16384,read_snap_short,223443,971
2,mvrlu,48,16384,write_heavy,226960,13113
2,mvrlu,48,16384,write_snap_long,188594,882
2,mvrlu,64,1024,read_heavy,13428327,39947
2,mvrlu,64,1024,read_snap_short,12016824,91483
2,mvrlu,64,1024,write_heavy,7781546,61981
2,mvrlu,64,1024,write_snap_long,7996660,182481
2,mvrlu,64,16384,read_heavy,297037,1015
2,mvrlu,64,16384,read_snap_short,287818,3226
2,mvrlu,64,16384,write_heavy,279584,861
2,mvrlu,64,16384,write_snap_long,244094,1931
2,vcas,1,1024,read_heavy,257082,140
